md5sum:270,Mix-CCBSE(OtterSAGE),55.64,NA,NA,NA,NA
md5sum:651,Mix-CCBSE(OtterSAGE),28.38,29.4,29.41,30.69,35.98
md5sum:688,Mix-CCBSE(OtterSAGE),28.81,33.87,NA,NA,NA
md5sum:625,Mix-CCBSE(OtterSAGE),24.09,1896.64,2212.34,2584.23,4504.46
md5sum:637,Mix-CCBSE(OtterSAGE),25.25,NA,NA,NA,NA
md5sum:673,Mix-CCBSE(OtterSAGE),27.41,30.4,31.38,NA,NA
md5sum:623,Mix-CCBSE(OtterSAGE),24.08,1532.26,1802.73,1872.03,4475.27
md5sum:143,Mix-CCBSE(OtterSAGE),20.71,26.08,780.98,963.87,1326.51
md5sum:611,Mix-CCBSE(OtterSAGE),23.36,23.68,30.87,177.28,207.57
md5sum:610,Mix-CCBSE(OtterSAGE),23.36,23.67,30.87,176.24,206.48
md5sum:(#targets),Mix-CCBSE(RP),65,65,65,65,65
md5sum:(#removed),Mix-CCBSE(RP),14,14,14,14,14
md5sum:(max),Mix-CCBSE(RP),619.63,650.63,671.4,755.25,897.7
md5sum:432,Mix-CCBSE(RP),42.87,48.5,49.65,50.21,50.27
md5sum:430,Mix-CCBSE(RP),42.55,48.36,48.79,48.9,49.75
md5sum:431,Mix-CCBSE(RP),42.65,48.49,49.36,49.84,50.26
md5sum:390,Mix-CCBSE(RP),30.81,35.03,35.2,39.17,39.48
md5sum:624,Mix-CCBSE(RP),29.48,34.26,34.51,37.56,39.1
md5sum:644,Mix-CCBSE(RP),25.77,30.1,31.45,35.91,36.2
md5sum:629,Mix-CCBSE(RP),603.33,630.89,646.88,710.91,885.01
md5sum:651,Mix-CCBSE(RP),26.31,30.73,32.43,36.48,37.44
md5sum:625,Mix-CCBSE(RP),30.38,34.54,35.08,37.7,39.11
md5sum:637,Mix-CCBSE(RP),57.7,64.86,67.15,71.63,74.25
md5sum:623,Mix-CCBSE(RP),28.34,33.74,34.28,37.52,38.36
md5sum:143,Mix-CCBSE(RP),619.63,650.63,671.4,755.25,897.7
md5sum:611,Mix-CCBSE(RP),21.81,25.17,25.25,30.46,30.54
md5sum:610,Mix-CCBSE(RP),21.72,25.17,25.22,30.34,30.41
md5sum:(#targets),"RR(RP,SDSE)",65,65,65,65,65
md5sum:(#removed),"RR(RP,SDSE)",18,18,18,18,18
md5sum:(max),"RR(RP,SDSE)",4224.44,4263.28,4430.25,4617.85,6195.67
md5sum:432,"RR(RP,SDSE)",30.81,32.76,33.05,34.93,41.24
md5sum:430,"RR(RP,SDSE)",30.78,32.73,33.01,34.89,41.19
md5sum:431,"RR(RP,SDSE)",30.8,32.74,33.02,34.91,41.22
md5sum:439,"RR(RP,SDSE)",1342.16,1542.92,1565.5,1594.97,1783.83
